A B C D E F G H I J K L M
0   77   0   728  699  585  204  756  0   843  444  0   371
77  0    987  0   0    0    0    332  219  135  155  0   255
0   987  0   388  0   0    0    527  239  0    342  0   119
728 0    388  0   0    754  0    332  0    511  61   782  405
699 0    0   0   0    140  0    441  0    0    676  0   251
585 0    0   754  140  0    614  157  233  0    993  461  220
204 0    0   0   0    614  0    151  20   874  0    0   862
756 332  527  332  441  157  151  0    621  245  0    0   0
0   219  239  0   0    233  20   621  0    0    363  748  425
843 135  0   511  0    0    874  245  0    0    19   0   301
444 155  342  61   676  993  0    0    363  19   0    134  0
0   0    0   782  0    461  0    0    748  0    134  0    0
371 255  119  405  251  220  862  0    425  301  0    0   0
